100000, 0, 40.01307487487793
20000, 0, 7.437705993652344
40000, 0, 16.07489585876465
60000, 0, 37.901878356933594
80000, 0, 29.88409996032715
100000, 2499108289, 1087545.9368228912
20000, 100519486, 38084.548234939575
40000, 399123865, 160945.7242488861
60000, 897357824, 402914.8099422455
80000, 1592845170, 787838.9632701874
100000, 4999945046, 2036792.4201488495
20000, 199989821, 75270.50590515137
40000, 799979179, 305333.94408226013
60000, 1799968208, 689831.8719863892
80000, 3199956822, 1242673.5479831696
100000, 0, 37.58120536804199
20000, 0, 8.339881896972656
40000, 0, 15.529870986938477
60000, 0, 20.378828048706055
80000, 0, 28.99789810180664
