100000, 1092924, 2500.498056411743
20000, 185280, 309.48710441589355
40000, 395530, 671.3290214538574
60000, 615840, 1189.9793148040771
80000, 862236, 1274.7530937194824
100000, 1092924, 1597.8450775146484
20000, 185280, 279.9191474914551
40000, 395530, 512.5730037689209
60000, 615840, 909.6128940582275
80000, 862236, 1372.4210262298584
100000, 1092924, 2303.114414215088
20000, 185280, 237.37668991088867
40000, 395530, 541.079044342041
60000, 615840, 814.0349388122559
80000, 862236, 1157.8197479248047
100000, 1092924, 1570.695161819458
20000, 185280, 258.45909118652344
40000, 395530, 576.012134552002
60000, 615840, 850.0070571899414
80000, 862236, 1229.7911643981934
