100000, 815024, 1416.2018299102783
20000, 139216, 338.75203132629395
40000, 298432, 504.3458938598633
60000, 469008, 864.3879890441895
80000, 636864, 1265.1069164276123
100000, 1536809, 1550.8859157562256
20000, 260950, 289.1521453857422
40000, 561756, 560.9371662139893
60000, 877258, 914.2529964447021
80000, 1203417, 1285.233974456787
100000, 855517, 2444.6537494659424
20000, 148077, 228.14011573791504
40000, 316336, 466.7167663574219
60000, 486283, 731.8370342254639
80000, 673360, 980.8318614959717
100000, 815024, 1278.336763381958
20000, 139216, 216.49575233459473
40000, 298432, 485.86320877075195
60000, 469008, 753.6399364471436
80000, 636864, 1028.2139778137207
